[2023-08-30 10:53:43,875] conftest.py->beginToend line:20 [INFO] ----------测试用例执行开始----------
[2023-08-30 10:53:59,304] conftest.py->beginToend line:28 [INFO] ----------测试用例执行结束----------

[2023-08-30 10:53:59,325] conftest.py->beginToend line:20 [INFO] ----------测试用例执行开始----------
[2023-08-30 10:54:14,522] conftest.py->beginToend line:28 [INFO] ----------测试用例执行结束----------

[2023-08-30 10:54:14,641] conftest.py->beginToend line:20 [INFO] ----------测试用例执行开始----------
[2023-08-30 10:54:29,856] conftest.py->beginToend line:28 [INFO] ----------测试用例执行结束----------

[2023-08-30 10:54:29,894] conftest.py->beginToend line:20 [INFO] ----------测试用例执行开始----------
[2023-08-30 10:59:20,893] conftest.py->beginToend line:20 [INFO] ----------测试用例执行开始----------
[2023-08-30 10:59:22,096] test_episodes.py->test_add_file line:52 [INFO] 1111
[2023-08-30 10:59:36,199] conftest.py->beginToend line:28 [INFO] ----------测试用例执行结束----------

[2023-08-30 10:59:38,294] conftest.py->beginToend line:20 [INFO] ----------测试用例执行开始----------
[2023-08-30 10:59:39,513] test_episodes.py->test_add_file line:52 [INFO] 1111
[2023-08-30 10:59:53,499] conftest.py->beginToend line:28 [INFO] ----------测试用例执行结束----------

[2023-08-30 10:59:55,687] conftest.py->beginToend line:20 [INFO] ----------测试用例执行开始----------
[2023-08-30 10:59:56,896] test_episodes.py->test_add_file line:52 [INFO] 1111
[2023-08-30 11:00:12,342] conftest.py->beginToend line:28 [INFO] ----------测试用例执行结束----------

[2023-08-30 11:00:14,433] conftest.py->beginToend line:20 [INFO] ----------测试用例执行开始----------
[2023-08-30 11:00:15,658] test_episodes.py->test_add_file line:52 [INFO] 1111
[2023-08-30 11:00:22,260] conftest.py->beginToend line:28 [INFO] ----------测试用例执行结束----------

[2023-08-30 11:14:27,912] conftest.py->beginToend line:20 [INFO] ----------测试用例执行开始----------
[2023-08-30 11:14:29,247] test_episodes.py->test_add_file line:52 [INFO] 1111
[2023-08-30 11:14:29,247] base_page.py->get line:15 [INFO] Loading url: http://admintest.xczxwe.com/admin/login.html
[2023-08-30 11:14:31,881] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '/html/body/form/div[2]/input')
[2023-08-30 11:14:31,881] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[2]/input')
[2023-08-30 11:14:31,965] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '/html/body/form/div[3]/input')
[2023-08-30 11:14:31,965] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[3]/input')
[2023-08-30 11:14:32,008] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '/html/body/form/div[5]/button')
[2023-08-30 11:14:32,008] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[5]/button')
[2023-08-30 11:14:33,052] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '//*[@id="sideMenu"]/div/ul/li[6]')
[2023-08-30 11:14:33,052] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="sideMenu"]/div/ul/li[6]')
[2023-08-30 11:14:37,092] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '//*[@id="sideMenu"]/div/ul/li[6]/dl/dd[3]/a')
[2023-08-30 11:14:37,092] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="sideMenu"]/div/ul/li[6]/dl/dd[3]/a')
[2023-08-30 11:14:37,155] base_page.py->goto_frame line:75 [INFO] Entering iframe: ('xpath', '//*[@id="364"]')
[2023-08-30 11:14:37,155] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="364"]')
[2023-08-30 11:14:37,233] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '/html/body/div[2]/div/div/div[1]/div[1]/button[1]')
[2023-08-30 11:14:37,233] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/div[2]/div/div/div[1]/div[1]/button[1]')
[2023-08-30 11:14:37,995] base_page.py->goto_frame line:75 [INFO] Entering iframe: ('xpath', '//*[@id="layui-layer-iframe2"]')
[2023-08-30 11:14:37,995] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="layui-layer-iframe2"]')
[2023-08-30 11:14:38,052] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '/html/body/form/div[1]/div/div/div[1]/div/div/xm-select')
[2023-08-30 11:14:38,052] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[1]/div/div/div[1]/div/div/xm-select')
