"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 24 14:38:38 CST 2023","Thu Aug 24 14:38:46 CST 2023","7893","TestCase","test_table","Testtable","","","test_query_package[data0]",""
"broken","Fri Aug 25 10:48:14 CST 2023","Fri Aug 25 10:48:18 CST 2023","3912","TestCase","test_table","Testtable1","","","test_query_group[data0]",""
"broken","Thu Aug 24 14:37:38 CST 2023","Thu Aug 24 14:37:38 CST 2023","0","TestCase","test_table","Testtable","","","test_query_package[data0]",""
"broken","Fri Aug 25 14:56:53 CST 2023","Fri Aug 25 14:56:53 CST 2023","0","TestCase","test_episodes","Testeposodes1","","","test_add_eposode[data0]",""
"passed","Thu Aug 24 16:02:48 CST 2023","Thu Aug 24 16:02:59 CST 2023","11430","TestCase","test_table","Testtable","","","test_del_grp",""
"passed","Thu Aug 24 14:49:40 CST 2023","Thu Aug 24 14:49:52 CST 2023","12169","TestCase","test_table","Testtable","","","test_query_package[data0]",""
"passed","Fri Aug 25 15:12:51 CST 2023","Fri Aug 25 15:13:00 CST 2023","9269","TestCase","test_table","Testtable1","","","test_update_package[data0]",""
"passed","Thu Aug 24 17:22:29 CST 2023","Thu Aug 24 17:22:40 CST 2023","10985","TestCase","test_table","Testtable","","","test_query_group[data0]",""
"passed","Fri Aug 25 15:12:37 CST 2023","Fri Aug 25 15:12:47 CST 2023","10106","TestCase","test_platforms","Testplatforms","","","test_promotions[data0]",""
"passed","Thu Aug 24 10:25:12 CST 2023","Thu Aug 24 10:25:27 CST 2023","14869","TestCase","test_table","Testtable","","","test_add_group[data0]",""
"passed","Thu Aug 24 14:53:06 CST 2023","Thu Aug 24 14:53:18 CST 2023","12078","TestCase","test_table","Testtable","","","test_query_package[data0]",""
"broken","Thu Aug 24 13:53:47 CST 2023","Thu Aug 24 13:53:55 CST 2023","7984","TestCase","test_table","Testtable","","","test_query_package[data0]",""
"broken","Wed Aug 23 17:35:38 CST 2023","Wed Aug 23 17:35:38 CST 2023","0","TestCase","test_table","Testtable","","","test_add_group[data0]",""
"passed","Thu Aug 24 15:14:21 CST 2023","Thu Aug 24 15:14:21 CST 2023","1","TestCase","test_table","Testtable","","","test_query_group[data0]",""
"broken","Thu Aug 24 14:24:28 CST 2023","Thu Aug 24 14:24:28 CST 2023","0","TestCase","test_table","Testtable","","","test1",""
"passed","Thu Aug 24 14:58:07 CST 2023","Thu Aug 24 14:58:19 CST 2023","11681","TestCase","test_table","Testtable","","","test_query_package[data0]",""
"passed","Wed Aug 23 17:09:06 CST 2023","Wed Aug 23 17:09:18 CST 2023","11991","TestCase","test_table","Testtable","","","test_update_package[data0]",""
"broken","Thu Aug 24 17:38:53 CST 2023","Thu Aug 24 17:38:56 CST 2023","2512","TestCase","test_platforms","Testplatforms1","","","test_promotions[data0]",""
"passed","Wed Aug 23 17:08:53 CST 2023","Wed Aug 23 17:09:03 CST 2023","9922","TestCase","test_table","Testtable","","","test_add_package[data0]",""
"passed","Fri Aug 25 15:12:20 CST 2023","Fri Aug 25 15:12:34 CST 2023","13723","TestCase","test_episodes","Testeposodes1","","","test_add_eposode[data0]",""
"passed","Wed Aug 23 17:28:28 CST 2023","Wed Aug 23 17:28:41 CST 2023","13062","TestCase","test_table","Testtable","","","test_add_group",""
"broken","Thu Aug 24 17:54:41 CST 2023","Thu Aug 24 17:54:41 CST 2023","0","TestCase","test_platforms","Testplatforms","","","test_promotions[data0]",""
"passed","Thu Aug 24 11:39:57 CST 2023","Thu Aug 24 11:40:10 CST 2023","12810","TestCase","test_table","Testtable","","","test_query_package[data0]",""
"passed","Fri Aug 25 14:13:59 CST 2023","Fri Aug 25 14:14:12 CST 2023","13069","TestCase","test_episodes","Testeposodes1","","","test_add_eposode",""
"broken","Thu Aug 24 14:28:21 CST 2023","Thu Aug 24 14:28:29 CST 2023","7746","TestCase","test_table","Testtable","","","test_query_package[data0]",""
"skipped","Thu Aug 24 10:58:05 CST 2023","Thu Aug 24 10:58:05 CST 2023","0","TestCase","test_table","Testtable","","","test_query_package[data0]",""
"broken","Thu Aug 24 14:43:20 CST 2023","Thu Aug 24 14:43:28 CST 2023","7663","TestCase","test_table","Testtable","","","test_query_package[data0]",""
"broken","Thu Aug 24 18:08:21 CST 2023","Thu Aug 24 18:08:30 CST 2023","8665","TestCase","test_platforms","Testplatforms","","","test_promotions[data0]",""
"passed","Thu Aug 24 15:57:34 CST 2023","Thu Aug 24 15:57:49 CST 2023","15046","TestCase","test_table","Testtable","","","test_del_package",""
"passed","Thu Aug 24 18:16:14 CST 2023","Thu Aug 24 18:16:30 CST 2023","16236","TestCase","test_platforms","Testplatforms","","","test_promotions[data0]",""
"passed","Thu Aug 24 14:54:05 CST 2023","Thu Aug 24 14:54:17 CST 2023","11654","TestCase","test_table","Testtable","","","test_query_package[data0]",""
"broken","Thu Aug 24 14:16:48 CST 2023","Thu Aug 24 14:16:56 CST 2023","8413","TestCase","test_table","Testtable","","","test_query_package[data0]",""
